timestamp,uav_id,target_id,Q_i_t,D_i_t,Psi_i_t,C_i_t,P_star,N_ij,h_ij,correction_term,P_ij_trans_opt
1213.0,1,3,598016.0,1598016.0,8.398419772680588,8398419772680589.0,0.00549019892042231,8e-13,2.347927177614776e-09,0.00034072607005329185,0.005149472850369019
1213.0,1,0,598016.0,1598016.0,8.398419772680588,8398419772680589.0,0.00549019892042231,8e-13,1.219883301321077e-08,6.558004352823235e-05,0.005424618876894078
1215.0,1,3,901120.0,1901120.0,8.441929177161713,8441929177161714.0,0.006497890087860153,2.7151429860905773e-12,1.7142869743591097e-09,0.0015838322443683269,0.004914057843491826
1215.0,1,0,901120.0,1901120.0,8.441929177161713,8441929177161714.0,0.006497890087860153,1.5804645757590306e-12,1.8502400848776456e-08,8.541943224970963e-05,0.0064124706556104435
1217.0,1,0,245760.0,1245760.0,8.483730186989794,8483730186989795.0,0.004236937607690556,1.6605096597242184e-11,4.30767550650603e-08,0.00038547696018799324,0.003851460647502563
1218.0,1,0,352256.0,1352256.0,8.483730186989794,8483730186989795.0,0.004599139723241396,8.727617704556523e-12,2.8305667899609813e-08,0.00030833463232559266,0.0042908050909158035
1219.0,1,0,425984.0,1425984.0,8.483730186989794,8483730186989795.0,0.004849895034007362,7.966774101653867e-12,1.6864834023835162e-08,0.0004723897128423785,0.004377505321164984
1220.0,1,0,589824.0,1589824.0,8.483730186989794,8483730186989795.0,0.00540712905793173,8e-13,1.0294862885289483e-08,7.77086600291816e-05,0.005329420397902548
1220.0,1,4,589824.0,1589824.0,8.483730186989794,8483730186989795.0,0.00540712905793173,8e-13,1.974109556180495e-09,0.00040524599939014485,0.005001883058541585
1221.0,1,0,770048.0,1770048.0,8.483730186989794,8483730186989795.0,0.0060200864842485345,1.6469406362001992e-12,6.471198412235988e-09,0.00025450318956162757,0.005765583294686907
1221.0,1,4,770048.0,1770048.0,8.483730186989794,8483730186989795.0,0.0060200864842485345,2.701766317240719e-12,1.9396327077891982e-09,0.0013929267672126461,0.004627159717035889
1222.0,1,0,892928.0,1892928.0,8.483730186989794,8483730186989795.0,0.006438012002191811,8e-13,4.512353924115295e-09,0.00017729105771703189,0.006260720944474779
1222.0,1,4,892928.0,1892928.0,8.483730186989794,8483730186989795.0,0.006438012002191811,8e-13,1.95017324532231e-09,0.0004102199647743511,0.0060277920374174595
1223.0,1,0,1007616.0,2007616.0,8.483730186989794,8483730186989795.0,0.006828075818938868,1.6758140157511534e-12,3.955287408917238e-09,0.00042368956854387186,0.006404386250394996
1223.0,1,4,1007616.0,2007616.0,8.483730186989794,8483730186989795.0,0.006828075818938868,2.541087731659647e-12,2.8148685449920453e-09,0.000902737620263126,0.005925338198675742
1224.0,1,0,1081344.0,2081344.0,8.483730186989794,8483730186989795.0,0.007078831129704834,8e-13,3.4724406891375894e-09,0.00023038550449617237,0.006848445625208662
1224.0,1,4,1081344.0,2081344.0,8.483730186989794,8483730186989795.0,0.007078831129704834,8e-13,2.9208520432197644e-09,0.0002738926820538743,0.00680493844765096
1225.0,1,0,1187840.0,2187840.0,8.483730186989794,8483730186989795.0,0.007441033245255673,1.6233980644344913e-12,2.067854469630751e-09,0.000785063982149757,0.006655969263105916
1225.0,1,4,1187840.0,2187840.0,8.483730186989794,8483730186989795.0,0.007441033245255673,2.532243570203691e-12,3.1401314183356925e-09,0.0008064132460882198,0.006634619999167453
1226.0,1,0,1318912.0,2318912.0,8.483730186989794,8483730186989795.0,0.007886820464395167,8e-13,1.761221502816803e-09,0.0004542302025727729,0.007432590261822395
1226.0,1,4,1318912.0,2318912.0,8.483730186989794,8483730186989795.0,0.007886820464395167,8e-13,2.4917281912554915e-09,0.0003210623063974362,0.007565758157997731
1227.0,1,0,1425408.0,2425408.0,8.483730186989794,8483730186989795.0,0.008249022579946008,8e-13,1.7798730793011745e-09,0.00044947025116762895,0.007799552328778379
1227.0,1,4,1425408.0,2425408.0,8.483730186989794,8483730186989795.0,0.008249022579946008,8e-13,2.789000322435706e-09,0.0002868411285450621,0.007962181451400947
1228.0,1,0,1548288.0,2548288.0,8.483730186989794,8483730186989795.0,0.008666948097889282,8e-13,1.8157540209548526e-09,0.00044058831249582094,0.008226359785393461
1228.0,1,4,1548288.0,2548288.0,8.483730186989794,8483730186989795.0,0.008666948097889282,8e-13,2.3299538108101188e-09,0.0003433544460359247,0.008323593651853358
1229.0,1,0,1613824.0,2613824.0,8.483730186989794,8483730186989795.0,0.00888984170745903,8e-13,1.910030345361552e-09,0.00041884151314285377,0.008471000194316175
1229.0,1,4,1613824.0,2613824.0,8.483730186989794,8483730186989795.0,0.00888984170745903,8e-13,2.3671097436770463e-09,0.0003379648967002634,0.008551876810758766
1230.0,1,0,1826816.0,2826816.0,8.483730186989794,8483730186989795.0,0.009614245938560709,8e-13,2.090541412463648e-09,0.0003826759877754448,0.009231569950785263
1230.0,1,4,1826816.0,2826816.0,8.483730186989794,8483730186989795.0,0.009614245938560709,8e-13,2.305115863439801e-09,0.00034705413844413134,0.009267191800116578
1231.0,1,0,1941504.0,2941504.0,8.483730186989794,8483730186989795.0,0.010004309755307767,8e-13,2.3508389524076876e-09,0.00034030404302287664,0.00966400571228489
1231.0,1,4,1941504.0,2941504.0,8.483730186989794,8483730186989795.0,0.010004309755307767,8e-13,2.2234504971175353e-09,0.00035980112938746063,0.009644508625920306
1232.0,1,4,2023424.0,3023424.0,8.483730186989794,8483730186989795.0,0.01028292676726995,8e-13,2.0854278239930007e-09,0.0003836143312158499,0.0098993124360541
